date,title,amount
2025-10-10,"IOF de ""Rch-Kagi.Com""",1.94
2025-10-10,Mp *Wshpatinetes,10.27
2025-10-10,Rch-Kagi.Com,55.68
2025-10-10,Mp *Patinetes,6.32
2025-10-10,Mp *Patinetes,1.58
2025-10-10,Mp *Jakubiak,12.50
2025-10-10,Mp *Patinetes,6.32
2025-10-09,Mp *Wshpatinetes,13.43
2025-10-09,Mp *Wshpatinetes,1.78
2025-10-08,Mp *Wshpatinetes,4.36
2025-10-08,Mp *Wshpatinetes,50.00
2025-10-08,Mp *Wshpatinetes,5.53
2025-10-07,Mp *Wshpatinetes,6.73
2025-10-06,Mp *Wshpatinetes,7.43
2025-10-06,Mp *Wshpatinetes,8.32
2025-10-05,Vpn* Anarwjejak,97.98
2025-10-05,"IOF de ""Vpn* Anarwjejak""",3.42
2025-10-04,iFood - NuPay,25.98
2025-10-04,iFood - NuPay,27.98
2025-10-03,iFood - NuPay,46.38
2025-10-02,Mp *Wshpatinetes,5.53
2025-10-02,Mp *Wshpatinetes,3.95
2025-10-02,Mp *Wshpatinetes,5.53
2025-10-02,Ec *Wshpatinetes,3.95
2025-09-29,Mp *Wshpatinetes,6.23
2025-09-29,Ec *Wshpatinetes,23.14
2025-09-29,Mp *Wshpatinetes,6.23
2025-09-29,Mp *Wshpatinetes,8.01
2025-09-29,Mp *Wshpatinetes,8.90
2025-09-29,Mp *Wshpatinetes,6.23
2025-09-29,Gimpel,38.71
2025-09-28,Bagaggio 382 Rvz Svr M,129.90
2025-09-28,Supermercados Imperatr,76.47
2025-09-28,Shopping Iguatemi - Parcela 1/2,60.00
2025-09-27,Corpo Amp Saude,160.00
2025-09-26,Mp *Wshpatinetes,1.52
2025-09-26,iFood - NuPay,35.41
2025-09-26,Mp *Wshpatinetes,6.00
2025-09-26,Mp *Wshpatinetes,9.89
2025-09-26,Mp *Wshpatinetes,11.06
2025-09-25,Mp *Wshpatinetes,5.15
2025-09-24,iFood - NuPay,15.99
2025-09-24,Ec *Wshpatinetes,9.10
2025-09-24,Shopping Iguatemi - Parcela 1/5,193.99
2025-09-24,Gimpel,53.97
2025-09-24,Amazon Digital,24.99
2025-09-24,Mp *Wshpatinetes,11.47
2025-09-24,Amazon,38.43
2025-09-23,Espaco Mais Saude,58.75
2025-09-23,Mp *Wshpatinetes,5.94
2025-09-23,iFood - NuPay,24.98
2025-09-22,Lwn.Net,138.52
2025-09-22,Benve Burger,54.00
2025-09-22,"IOF de ""Lwn.Net""",4.84
2025-09-22,Mp *Wshpatinetes,10.10
2025-09-22,Mp *Wshpatinetes,7.43
2025-09-22,iFood - NuPay,29.28
2025-09-21,Ec *Wshpatinetes,6.54
2025-09-21,Angeloni,189.41
2025-09-20,Pagamento recebido,-1900.00
2025-09-20,iFood - NuPay,15.99
2025-09-20,Gimpel,28.92
2025-09-19,Panvel Farmacias,104.71
2025-09-19,Spacefood,20.21
2025-09-19,Spacefood,36.90
2025-09-19,iFood - NuPay,24.98
2025-09-18,Ec *Wshpatinetes,7.52
2025-09-18,Ec *Wshpatinetes,6.73
2025-09-17,Mp *Wshpatinetes,5.15
2025-09-16,Mp *Wshpatinetes,8.31
2025-09-16,Mp *Wshpatinetes,6.73
2025-09-15,Estaleiro Restaurant,510.40
2025-09-15,Pagamento recebido,-390.08
2025-09-13,Steamgames.Com,29.97
2025-09-13,"IOF de ""Steamgames.Com""",1.04
2025-09-12,Apple.Com/Bill,21.90
2025-09-12,Mp *Wshpatinetes,25.75
2025-09-12,Mp *Wshpatinetes,5.15
2025-09-11,Tim*48999752466,54.99
2025-09-11,Uber Uber *Trip Help.U,48.85
2025-09-11,Ec *Wshpatinetes,5.94
2025-09-11,Amazon Marketplace - Parcela 2/3,33.39
2025-09-11,Ana Sabino Alves - Parcela 3/5,74.00
2025-09-11,Amazonmktplc*Grandcomm - Parcela 3/6,31.66
2025-09-11,Gs Mobiliario Empresa - Parcela 8/10,187.00
2025-09-11,Colchoes Ortobom Rs - Parcela 3/5,378.56
2025-09-11,Amazon Marketplace - Parcela 2/6,34.81
2025-09-11,Ec *Wshpatinetes,7.52
2025-09-11,Amazon - Parcela 2/7,52.60
2025-09-11,Amazon - Parcela 2/9,55.51
2025-09-11,Decathlon - Parcela 4/6,71.66
2025-09-11,Amazonmktplc*Infinysho - Parcela 3/3,35.07
